105 40'19'' PERRIER NICOLAS SEM Monthey CH  Kilomètre Vertical de Fully 20/10/2012
2 08'57'' PERRIER NICOLAS M    XPress - Bastille 17/10/2012
5 01h43'41'' PERRIER NICOLAS SEM    La Course des Portes Ouvertes de la Vallée 14/10/2012
228 03h28'50'' PERRIER NICOLAS V1M    Marathon de Montpellier 14/10/2012
879 01h38'30'' PERRIER NICOLAS V1M    Semi-Marathon de Lyon 7/10/2012
879 01h38'30'' PERRIER NICOLAS V1M    Semi-Marathon de Lyon 7/10/2012
8 33'24'' PERRIER NICOLAS SEM    Xpress - Rachais 3/10/2012
17 01h36'01'' PERRIER NICOLAS SEM Monthey  Les KM de Chando - 2000 m 29/9/2012
2 01h00'32'' PERRIER NICOLAS SEM ALE  Cross des Coteaux - 15 km 16/9/2012
15 07h41'35'' PERRIER NICOLAS SEM    Trail des Dents du Midi 15/9/2012
16 01h12'33'' PERRIER NICOLAS SEM Monthey  Ovronnaz Cabane Rambert 2/9/2012
3 01h46'01'' PERRIER NICOLAS SEM    Le Tour du Plateau d'Emparis - 21 km 19/8/2012
97 03h15'57'' PERRIER NICOLAS SEM Monthey  Sierre - Zinal 12/8/2012
12 04h25'24'' PERRIER NICOLAS SEM Ski de fond Chamrousse Saint-Pons  Trail Ubaye Salomon - 42 km 12/8/2012
5 01h48'05'' PERRIER NICOLAS SEM    Trail de l'Alpe du Grand Serre - 23 km 8/7/2012
69 02h39'00'' PERRIER NICOLAS SEM    Les Crêtes du Pays Basque - 26 km 7/7/2012
26 49'40'' PERRIER NICOLAS SEM    Kilomètre Vertical de Manigod n°1 27/6/2012
105 03h18'46'' PERRIER NICOLAS SEM    Trail du Vieux Lavoir - 30 km 24/6/2012
7 57'16'' PERRIER NICOLAS SEM    Dynafit Moontain Race Courchevel 5/6/2012
4 04h04'33'' PERRIER NICOLAS SEM Chamrousse  Trail de l'Oisans - 40 km 3/6/2012
85 01h45'40'' PERRIER NICOLAS SEM    Trail des Cerfs - 20 km 13/5/2012
23 01h19'09'' PERRIER NICOLAS V1M    Trail de Pignan - 15 km - Le Coulazou 5/2/2012
28 01h18'15'' PERRIER NICOLAS SEM Toulouse Aviron  Trail du Pastel - 14 km 22/1/2012
603 03h42'17'' PERRIER NICOLAS SEM    Ice Trail - 30 km 22/1/2012
754 01h32'12'' PERRIER NICOLAS SEM    La Route des 4 Châteaux 20/11/2011
176 01h39'35'' PERRIER NICOLAS SEM    La Course nocturne Les Flambeaux - 18 km 12/11/2011
3 01h03'28'' PERRIER NICOLAS SEM SNBC  La Ronde des 3 Massifs 16/10/2011
6 22'30'' PERRIER NICOLAS SEM    Xpress - Le Saint Eynard 12/10/2011
1836 01h52'53'' PERRIER NICOLAS SEM    Semi-Marathon de Lyon 2/10/2011
11 07h48'35'' PERRIER NICOLAS SEM MONTHEY  Trail des Dents du Midi 18/9/2011
698 07h03'57'' PERRIER NICOLAS SEM    Eco Trail de Paris Ile de France - 50 km 26/3/2011
6 22'21'' PERRIER NICOLAS SEM    Xpress - Le Saint Eynard 29/9/2010
7 02h14'41'' PERRIER NICOLAS SEM    Trail du Pic Saint-Michel - 22 km 6/6/2010
